fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1.pos,Foci2.pos,Foci3.pos,mouse,strain,sex,category
5jun18_21may18_KAZ_m2_sp1_10.1_rev,113,6.0983,0.053839,0.64923,1,9,5jun18_21may18_KAZ_m2_sp1_10.1_rev_9,1,1,,,1,27,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,76,4.8394,0.063517,0.71155,2,1,5jun18_21may18_KAZ_m2_sp1_10.2_rev_1,1,0,,,1,27,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,103,5.6648,0.05519,0.65463,6,11,5jun18_21may18_KAZ_m2_sp1_10.2_rev_11,1,0,,,1,83,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,64,6.1414,0.095433,0.71374,1,12,5jun18_21may18_KAZ_m2_sp1_10.2_rev_12,1,1,,,1,60,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,72,3.8806,0.054236,0.69581,4,13,5jun18_21may18_KAZ_m2_sp1_10.2_rev_13,1,0,,hard to tell for foci,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,112,4.2971,0.038503,0.70515,1,14,5jun18_21may18_KAZ_m2_sp1_10.2_rev_14,1,1,,,1,81,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,61,2.2581,0.036783,0.66849,2,15,5jun18_21may18_KAZ_m2_sp1_10.2_rev_15,1,0,,,1,30,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,59,3.6111,0.061168,0.7359,2,2,5jun18_21may18_KAZ_m2_sp1_10.2_rev_2,1,0,,,1,46,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,83,3.3898,0.040999,0.75621,2,3,5jun18_21may18_KAZ_m2_sp1_10.2_rev_3,1,1,,first foci very faint,2,30,66,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,48,6.4642,0.13483,0.72279,1,4,5jun18_21may18_KAZ_m2_sp1_10.2_rev_4,1,1,,,1,46,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,70,4.3645,0.061972,0.7348,5,5,5jun18_21may18_KAZ_m2_sp1_10.2_rev_5,1,0,,hard to tell for foci,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,88,7.9231,0.089585,0.70609,7,6,5jun18_21may18_KAZ_m2_sp1_10.2_rev_6,1,0,,,1,28,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,104,2.5397,0.024349,0.75165,7,7,5jun18_21may18_KAZ_m2_sp1_10.2_rev_7,0,,X,XY,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,140,7.3294,0.05227,0.69515,1,8,5jun18_21may18_KAZ_m2_sp1_10.2_rev_8,0,,X,merged,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.2_rev,100,4.3478,0.043372,0.64172,2,9,5jun18_21may18_KAZ_m2_sp1_10.2_rev_9,1,0,,,1,94,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.3_rev,76,7.0031,0.092019,0.61296,1,1,5jun18_21may18_KAZ_m2_sp1_10.3_rev_1,1,1,,,1,71,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.3_rev,113,4.5155,0.039972,0.5365,2,11,5jun18_21may18_KAZ_m2_sp1_10.3_rev_11,1,1,,,2,21,107,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.3_rev,86,7.3522,0.085541,0.55385,1,13,5jun18_21may18_KAZ_m2_sp1_10.3_rev_13,1,1,,,1,72,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.3_rev,78,3.9832,0.051011,0.56217,1,14,5jun18_21may18_KAZ_m2_sp1_10.3_rev_14,1,1,,,1,66,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.3_rev,77,5.9215,0.076953,0.59423,2,2,5jun18_21may18_KAZ_m2_sp1_10.3_rev_2,1,0,,,1,67,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.3_rev,95,4.7492,0.049854,0.61674,2,5,5jun18_21may18_KAZ_m2_sp1_10.3_rev_5,0,0,X,merged,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.3_rev,87,5.8596,0.067624,0.62253,2,6,5jun18_21may18_KAZ_m2_sp1_10.3_rev_6,1,0,,,1,68,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.3_rev,76,4.4775,0.058854,0.61538,1,7,5jun18_21may18_KAZ_m2_sp1_10.3_rev_7,0,,X,merged,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.3_rev,49,3.5294,0.071466,0.56732,4,9,5jun18_21may18_KAZ_m2_sp1_10.3_rev_9,1,,,hard to tell for foci,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.4_rev,67,3.8409,0.05758,0.4278,1,1,5jun18_21may18_KAZ_m2_sp1_10.4_rev_1,1,1,,,1,63,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.4_rev,109,4.6745,0.042929,0.37564,3,10,5jun18_21may18_KAZ_m2_sp1_10.4_rev_10,1,0,,,2,24,100,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.4_rev,136,4.7059,0.034536,0.41791,8,12,5jun18_21may18_KAZ_m2_sp1_10.4_rev_12,0,,X,merge,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.4_rev,70,6.9674,0.099532,0.43574,1,13,5jun18_21may18_KAZ_m2_sp1_10.4_rev_13,1,1,,,1,56,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.4_rev,106,9.7575,0.092385,0.44834,3,3,5jun18_21may18_KAZ_m2_sp1_10.4_rev_3,0,,X,merge,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.4_rev,139,3.6881,0.026462,0.43958,2,4,5jun18_21may18_KAZ_m2_sp1_10.4_rev_4,0,,X,merge,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.4_rev,88,4.1176,0.046684,0.41455,7,5,5jun18_21may18_KAZ_m2_sp1_10.4_rev_5,1,0,,,1,79,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.4_rev,48,4.7711,0.098987,0.43489,1,6,5jun18_21may18_KAZ_m2_sp1_10.4_rev_6,1,1,,,1,38,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_10.4_rev,131,4.5577,0.034764,0.41692,1,8,5jun18_21may18_KAZ_m2_sp1_10.4_rev_8,0,,X,merge,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,88,6.5253,0.073751,0.62238,1,1,5jun18_21may18_KAZ_m2_sp1_11_rev_1,1,1,,,1,82,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,47,4.127,0.088214,0.63233,1,10,5jun18_21may18_KAZ_m2_sp1_11_rev_10,1,1,,,1,30,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,96,4.4776,0.046682,0.5962,6,11,5jun18_21may18_KAZ_m2_sp1_11_rev_11,1,0,,,1,68,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,103,5.2663,0.051112,0.58505,3,12,5jun18_21may18_KAZ_m2_sp1_11_rev_12,1,1,,faint middle foci,3,21,66,93,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,117,7.1098,0.060801,0.61155,3,13,5jun18_21may18_KAZ_m2_sp1_11_rev_13,1,0,,,1,39,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,67,3.4489,0.051674,0.60863,4,14,5jun18_21may18_KAZ_m2_sp1_11_rev_14,0,,X,,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,96,2.4242,0.025244,0.59488,6,15,5jun18_21may18_KAZ_m2_sp1_11_rev_15,1,0,,,1,41,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,78,4.1788,0.053332,0.60425,1,16,5jun18_21may18_KAZ_m2_sp1_11_rev_16,1,1,,,1,35,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,61,3.3333,0.054779,0.59753,1,17,5jun18_21may18_KAZ_m2_sp1_11_rev_17,1,1,,,1,56,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,81,7.1359,0.087995,0.61637,1,2,5jun18_21may18_KAZ_m2_sp1_11_rev_2,1,1,,,1,26,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,152,9.3687,0.061744,0.61694,15,3,5jun18_21may18_KAZ_m2_sp1_11_rev_3,0,,,XY,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,155,4.4118,0.02854,0.60647,4,4,5jun18_21may18_KAZ_m2_sp1_11_rev_4,0,,X,merge,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,128,2.8125,0.02202,0.61615,3,5,5jun18_21may18_KAZ_m2_sp1_11_rev_5,0,,X,merge,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,73,2.4615,0.033623,0.61167,3,6,5jun18_21may18_KAZ_m2_sp1_11_rev_6,1,0,,,1,70,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,43,4.8572,0.11378,0.61727,1,7,5jun18_21may18_KAZ_m2_sp1_11_rev_7,0,,X,self twist,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,62,4.4924,0.072699,0.62465,1,8,5jun18_21may18_KAZ_m2_sp1_11_rev_8,1,1,,,1,54,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_11_rev,70,4.6377,0.066502,0.62383,2,9,5jun18_21may18_KAZ_m2_sp1_11_rev_9,1,0,,,1,60,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,78,5.4757,0.070493,0.46229,5,1,5jun18_21may18_KAZ_m2_sp1_12_rev_1,1,0,,2 foci faint,2,51,59,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,87,4.6242,0.052931,0.45154,5,10,5jun18_21may18_KAZ_m2_sp1_12_rev_10,1,0,,,1,9,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,87,3.4384,0.039669,0.43732,5,11,5jun18_21may18_KAZ_m2_sp1_12_rev_11,1,0,,foci too faint,0,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,43,3.6847,0.08575,0.45501,2,12,5jun18_21may18_KAZ_m2_sp1_12_rev_12,1,0,,,1,18,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,75,5.0404,0.06749,0.4528,4,14,5jun18_21may18_KAZ_m2_sp1_12_rev_14,1,0,,foci too faint,0,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,93,3.8806,0.041518,0.43602,4,15,5jun18_21may18_KAZ_m2_sp1_12_rev_15,1,0,,,2,42,85,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,68,6.1628,0.091111,0.43843,2,16,5jun18_21may18_KAZ_m2_sp1_12_rev_16,1,1,,first foci faint,2,18,46,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,51,2.8125,0.055334,0.44787,2,17,5jun18_21may18_KAZ_m2_sp1_12_rev_17,1,0,,,1,19,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,83,4.542,0.054922,0.42308,1,18,5jun18_21may18_KAZ_m2_sp1_12_rev_18,1,1,,,1,76,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,70,3.5821,0.051518,0.42735,2,19,5jun18_21may18_KAZ_m2_sp1_12_rev_19,1,0,,other foci a bit faint,1,43,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,68,7.5679,0.11089,0.46313,1,2,5jun18_21may18_KAZ_m2_sp1_12_rev_2,1,1,,other faint foci,1,64,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,66,5.4382,0.082693,0.46229,1,3,5jun18_21may18_KAZ_m2_sp1_12_rev_3,1,1,,,1,55,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,103,9.3962,0.09079,0.45548,1,4,5jun18_21may18_KAZ_m2_sp1_12_rev_4,1,1,,,1,62,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,95,6.5179,0.068309,0.46015,1,5,5jun18_21may18_KAZ_m2_sp1_12_rev_5,1,1,,,1,90,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,77,3.4783,0.045,0.46002,5,6,5jun18_21may18_KAZ_m2_sp1_12_rev_6,1,0,,foci too faint,0,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,77,4.4444,0.057699,0.46373,4,7,5jun18_21may18_KAZ_m2_sp1_12_rev_7,1,0,,,1,69,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,54,3.7681,0.069448,0.45656,2,8,5jun18_21may18_KAZ_m2_sp1_12_rev_8,1,0,,,1,43,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_12_rev,61,4.0781,0.06695,0.45964,2,9,5jun18_21may18_KAZ_m2_sp1_12_rev_9,1,0,,,1,32,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,106,6.2839,0.059145,0.74509,5,1,5jun18_21may18_KAZ_m2_sp1_13_rev_1,1,0,,,1,73,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,115,5.0476,0.043851,0.68609,4,10,5jun18_21may18_KAZ_m2_sp1_13_rev_10,1,0,,,2,24,104,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,186,9.8754,0.053103,0.65911,13,11,5jun18_21may18_KAZ_m2_sp1_13_rev_11,0,,,XY,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,90,3.7166,0.041228,0.68814,2,12,5jun18_21may18_KAZ_m2_sp1_13_rev_12,1,0,,,1,25,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,105,3.4246,0.032711,0.68068,3,13,5jun18_21may18_KAZ_m2_sp1_13_rev_13,1,0,,,2,32,98,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,79,3.1884,0.040242,0.70472,3,14,5jun18_21may18_KAZ_m2_sp1_13_rev_14,1,0,,,1,51,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,81,3.1429,0.038743,0.67398,2,15,5jun18_21may18_KAZ_m2_sp1_13_rev_15,1,0,,"1 other faint foci, could be real",1,52,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,79,2.3188,0.029283,0.70307,3,16,5jun18_21may18_KAZ_m2_sp1_13_rev_16,1,0,,,2,19,66,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,65,5.3951,0.082551,0.72811,6,17,5jun18_21may18_KAZ_m2_sp1_13_rev_17,1,0,,first foci faint,2,22,54,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,75,3.9394,0.052588,0.64818,4,18,5jun18_21may18_KAZ_m2_sp1_13_rev_18,1,0,,,1,61,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,54,4.9023,0.09149,0.62699,3,19,5jun18_21may18_KAZ_m2_sp1_13_rev_19,1,0,,1 other faint foci near centromere,1,37,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,93,5.0988,0.05472,0.75314,2,2,5jun18_21may18_KAZ_m2_sp1_13_rev_2,1,0,,,1,35,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,66,2.5397,0.03842,0.73807,2,3,5jun18_21may18_KAZ_m2_sp1_13_rev_3,1,0,,,1,56,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,114,3,0.02625,0.66495,3,4,5jun18_21may18_KAZ_m2_sp1_13_rev_4,1,0,,,1,83,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,135,3.4921,0.025913,0.7111,4,5,5jun18_21may18_KAZ_m2_sp1_13_rev_5,1,0,,,2,52,123,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,97,6.3145,0.065105,0.72091,3,6,5jun18_21may18_KAZ_m2_sp1_13_rev_6,1,0,,,2,17,91,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,74,6.3223,0.084887,0.73983,2,8,5jun18_21may18_KAZ_m2_sp1_13_rev_8,1,0,,,1,69,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_13_rev,100,6.0923,0.061199,0.6997,4,9,5jun18_21may18_KAZ_m2_sp1_13_rev_9,1,,,can't really tell if foci,,,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_14_rev,62,2.8169,0.045701,0.55323,1,1,5jun18_21may18_KAZ_m2_sp1_14_rev_1,1,1,,,1,45,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_14_rev,71,5.531,0.077792,0.5282,4,10,5jun18_21may18_KAZ_m2_sp1_14_rev_10,1,0,,first foci faint,2,29,59,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_14_rev,73,5.2923,0.072207,0.54602,6,11,5jun18_21may18_KAZ_m2_sp1_14_rev_11,1,0,,,1,60,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_14_rev,85,2.5714,0.030164,0.52537,4,12,5jun18_21may18_KAZ_m2_sp1_14_rev_12,1,0,,,1,53,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_14_rev,92,4.8649,0.053096,0.51237,6,13,5jun18_21may18_KAZ_m2_sp1_14_rev_13,1,0,,sorta faint foci,1,78,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_14_rev,98,5.7068,0.058459,0.50989,2,15,5jun18_21may18_KAZ_m2_sp1_14_rev_15,1,0,,,1,56,,,21may18_KAZ_m2,KAZ,male,KAZ male
5jun18_21may18_KAZ_m2_sp1_14_rev,88,6.4721,0.073804,0.50509,3,16,5jun18_21may18_KAZ_m2_sp1_14_rev_16,1,0,,,1,77,,,21may18_KAZ_m2,KAZ,male,KAZ male
